A:LS:LC,A:LS:MC,A:MS:MC,A:HS:MC,A:LS:HC,A:HS:HC,A:MS:HC,A:MS:LC,A:HS:LC
88.1,168.465,190.8,170.47,330.44,384.3,349.795,77.865,79.585
87.775,168.36,188.78,168.015,339.15,381.09,351.625,79.17,79.52
87.745,169.555,187.62,167.77,343.275,377.09,347.075,74.975,77.685
88.46,163.57,193.345,171.01,336.56,377.11,349.68,75.195,79.735
88.11,166.085,189.785,171.7,346.38,388.99,344.84,77.465,79.82
87.295,166.81,186.205,171.795,331.02,382.925,346.27,78.03,80.68
85.685,167.375,188.845,172.93,334.835,380.67,346.01,77.115,79.81
87.215,167.165,191.17,169.135,333.82,390.525,348.205,77.63,80.475
88.135,165.25,187.13,170.295,329.365,387.66,348.815,76.56,80.98
89.305,167.125,184.155,171.695,336.085,381,345.645,78.18,79.565
87.72,167.315,187.535,169.225,329.38,382.415,350.3,74.72,79.46
90.655,167.95,189.785,168.43,332.975,390.875,347.075,75.47,79.555
87.805,164.58,185.8,168.72,331.47,382.975,349.655,74.74,79.62
87.39,166.535,187.465,169.945,331.945,384.55,345.215,75.45,80.305
85.6,167.475,189.645,168.99,326.665,384.27,345.375,76.485,79.935
86.9,167.415,188.47,168.805,337.55,384.325,349.455,75.855,79.61
88.51,164.105,187.155,173.155,331.435,381.29,346.625,74.72,80.65
85.515,167.315,187.27,170.39,334.23,383.405,347.155,76.95,79.85
84.79,169.325,193.185,167.615,324.8,380.53,347.705,75.38,79.85
87.075,167.14,186.06,170.89,325.66,383.045,350.65,75.555,80.01
86.41,169.23,186.05,172.525,337.24,389.655,346.465,75.015,79.79
87.9,163.255,186.635,169.335,331.65,384.59,349.01,75.075,80.005
86.835,165.5,187.96,167.42,334.825,374.505,343.245,76.43,78.57
88.855,166.275,189.62,167.115,338.015,386.7,350.91,75.845,80.445
87.54,167.095,189.83,170.11,329.34,384.86,346.42,74.215,80.545
86.695,162.6,189.84,170,323.45,385.52,346.99,75.555,81.05
88.4,167,189.325,173.8,329.44,385.135,340.995,74.475,79.855
85.825,163.46,187.2,168.1,327.38,380.365,346.305,75.14,79.43
86.685,162.985,184.27,168.73,325.06,379.705,345.82,76.975,80.02
85.84,162.605,187.82,165.655,325.295,382.795,336.825,75.935,78.765
85.915,165.48,188.12,170.1,331.94,381.96,335.105,76.165,79.22
86.835,164.755,184.55,169.19,334.25,379.815,345.965,75.91,83.085
85.745,169.08,185.41,167.44,320.17,376.33,347.81,74.31,78.815
86.865,166.305,187.575,169.44,334.76,377.76,344.355,74.145,79.485
87.925,162.255,186.26,170.635,320.21,379.48,346.52,74.34,77.595
85.34,163.965,184.445,170.285,321.98,388.17,349.46,74.505,78.85
85.9,170.905,187.56,172.01,327.12,382.52,343.235,75.95,80.175
85.1,161.92,183.55,166.445,332.955,368.78,337.785,75.43,77.555
86.02,165.885,188.505,165.63,328.9,375.315,342.98,74.86,79.33
86.225,171.98,184.695,167.425,340.81,376.19,339.03,75.05,79.46
85.21,168.195,185.14,168.875,339.385,381.24,342.36,73.99,81.06
85.165,164.905,185.87,171.285,333.645,382.945,348.935,74.425,79.795
85.615,164.91,189.56,167.945,333.07,383.025,344.95,73.51,80.125
84.845,165.33,185.92,171.04,327.825,375.265,350.45,75.07,80.35
87.83,165.785,188.755,167.445,328.375,376.615,347.22,73.455,80.6
85.54,166.81,186.51,170.335,333.36,380.3,344.435,73.425,79.795
84.87,164.46,184.37,171.36,320.21,380.7,351.755,75.885,79.315
85.905,163.695,185.47,168.17,323.87,376.515,346,74.545,79.38
85.34,163.185,188.505,168.905,327.595,373.185,350.8,76.2,78.635
