SG:HS:LC,SG:LS:LC,SG:MS:LC,SG:LS:MC,SG:MS:MC,SG:HS:MC,SG:LS:HC,SG:MS:HC,SG:HS:HC,SG:VHS:LC,SG:VHS:MC,SG:VHS:HC
69.615,70.05,70.1,152.43,154.32,153.995,308.565,304.44,299.155,68.845,155.275,310.8
70.21,68.085,70.29,147.7,156.94,158.355,309.72,308.68,306.95,67.135,154.175,309.69
69.75,67.38,70.015,146.23,151.75,149.815,317.875,312.58,302.68,66.295,151.565,305.755
69.41,69.425,69.155,149.17,156.025,152.925,306.325,306.565,310.405,65.28,153.775,304.52
69.41,69.49,69.935,149.44,153.105,152.25,309.52,304.12,306.63,68.25,155.445,300.415
67.945,70.09,67.685,145.6,156.45,153.085,306.92,302.12,293.06,65.56,154.97,306.93
69.21,67.045,70.305,149.115,154.94,149.025,298.39,300.345,299.32,66.3,154.125,306.755
68.87,68.6,71.25,147.41,155.61,153.1,298.925,307.06,303.935,67.76,154.605,307.915
67.855,68.555,71.25,145.165,151.24,150.22,302.845,302.63,304.33,65.88,155.195,300.88
69.1,68.575,71.22,148.515,155.04,151.235,298.67,306.475,302.155,66.455,155.415,300.25
69.36,70.01,68.37,146.395,152.065,148.89,306.33,303.705,303.025,67.72,154.615,306.085
67.95,68.895,68.665,147.375,151.505,148.525,305.41,309.59,291.92,66.565,155.15,303.065
67.015,68.145,69.775,144.915,153.28,148.005,292.435,305.3,303.34,65.29,153.015,309.55
68.54,67.42,68.445,143.295,153.47,150.875,303.53,299.605,295.07,64.875,155.77,300.32
67.01,67.885,69.42,150.41,151.19,146.53,304.07,293.745,296.59,67.835,152,304.08
67.55,68.02,66.15,145.73,152.36,149.21,299.055,299.415,300.03,68.025,155.7,299.99
66.945,69.31,67.53,144.865,151.335,144.54,300.575,300.935,303.265,66.995,152.49,303.49
67.625,67.925,68.465,146.935,152.3,149.315,293.975,304.105,293.76,65.025,151.895,302.31
68.715,68.47,68.22,146.5,150.51,147.12,298.655,302.835,294.81,63.67,153,299.475
66.865,65.92,68.77,144.04,149.935,151.785,304.955,306.77,294.63,64.585,152.72,304.855
65.765,66.985,67.7,146.475,157.055,147.67,303.73,302.97,292.82,65.79,154.5,302.12
66.84,64.495,68.01,143.035,148.745,146.04,298.965,300.56,295.085,65.105,148.245,309.765
67.805,68.125,67.065,142.61,147.61,145.505,294.1,300.26,297.79,64.82,150.36,290.75
65.375,65.39,69.21,142.4,149.035,145.49,294.725,302.565,291.42,64.655,152.88,295.07
66.315,66.825,68.21,144.8,147.035,146.945,297.55,292.765,294.295,65.435,148.57,294.74
65.675,68.12,67.34,143.63,148.45,149.715,295.865,295.68,291.855,65.185,150.26,295.585
65.505,68.01,67.57,143.44,148.19,145.51,298.69,292.03,301.105,63.18,152.175,294.67
66.52,66.165,67.18,141.895,148.895,145.085,298.26,294.3,292.605,64.135,152.65,296.35
66.23,66.48,67.745,142.55,147.915,146.055,297.73,293.14,287.24,64.32,148.9,287.64
65.385,66.03,66.37,143.23,149.785,146.35,300.66,290.855,300.925,64.59,146.755,295.7
65.84,65.135,68.24,146.57,146.585,147.475,290.78,299.425,292.885,64.345,148.84,295.035
66.015,66.505,67.23,143.87,148.365,143.785,290.165,298.92,291.42,64.93,149.95,295.395
65.27,66,67.015,142.1,150.48,142.615,298.25,291.215,289.3,64.375,149.235,291.195
