G:LS:LC,G:MS:LC,G:HS:LC,G:LS:MC,G:MS:MC,G:HS:MC,G:LS:HC,G:MS:HC,G:VHS:HC*,G:VHS:LC,G:VHS:MC,G:VHS:HC
65.00263999,63.46175448,66.54,148.42,142.995,126.365,289.18,277.785,285.085,64.82,144.295,277.585
62.82644406,60.87428993,64.82,144.82,139.005,128.79,288.95,277.35,286.98,63.375,143.11,271.095
62.78900329,62.20107286,63.08,147.18,142.585,123.74,284.34,280.905,281.485,62.355,143.085,269.02
63.5406246,60.54254154,65.17,146.89,143.195,124.635,292.14,276.67,279.29,62.48,139.08,263.02
64.81520925,61.86664861,64.655,149.27,136.475,124.175,289.195,279.07,282.78,62.185,140.19,266.685
64.84840898,58.94204182,63.345,146.34,138.145,125.385,290.795,273.33,277.485,61.305,141.445,265.405
65.19376525,58.70940726,63.015,142.99,137.25,126.67,297.08,271.29,281.69,62.6,140.52,267.165
63.71594547,60.13552115,62.085,143.08,138.235,123.18,300.17,278.9,280.15,61.63,138.475,267.96
62.56578243,59.47570229,63.485,142.31,139.13,124.16,288.87,271.63,282.2,61.355,140.525,266.46
62.33829206,61.65795544,63.07,142.88,139.735,123.605,294.9,275.26,278.385,62.43,138.58,264.6
64.56339337,59.31880504,62.89,140.085,138.305,126.8,285.11,267.885,279.155,62.585,141.96,269.54
64.18791392,57.94889741,63.185,141.705,136.23,120.925,276.65,272.405,275.46,61.365,139.545,265.49
62.98745375,59.16302111,63.245,145.075,138.725,119.54,287.305,265.12,275.555,62.66,139.895,265.23
61.07964875,58.29721972,61.315,142.605,137.62,120.495,276.63,263.68,274.13,60.69,137.275,269.6
63.50684299,59.0344879,61.04,150.39,136.03,125,280.665,267.15,276.845,62.28,137.665,269.475
62.3880172,58.49934088,62.08,142.325,134.95,120.89,279.275,270.965,274.14,62.345,138.54,262.555
62.26276921,56.8592861,61.4,145.66,138.815,119.325,284.3,267.55,274.575,61.32,139.2,265.35
62.12891446,57.76720826,60.975,140.375,133.11,117.87,278.67,266.605,275.715,60.9,138.02,262.755
64.34817222,57.36758552,62.17,142.065,131.445,118.865,282.595,271.22,269.12,59.88,133.91,257.2
62.10451176,57.09852435,61.365,141.14,135.33,119.605,270.75,265.37,272.45,60.955,136.295,257.285
61.36557818,58.15034078,60.87,137.34,137.61,121.96,285.29,269.76,270.025,60.275,135.585,258.445
60.14874542,55.85280521,60.795,141.82,135.405,118.05,276.275,266.625,269.53,59.615,136.215,254.06
61.1372302,58.79473749,61.32,140.615,133.43,120.11,276.76,264.195,268.675,61.59,136.475,255.85
61.32368357,57.79576097,61.86,141.75,127.635,118.8,275.895,262.645,266.975,59.86,136.115,258.61
60.12132109,56.22934436,63.175,140.45,133.55,119.095,276.85,271.5,269.63,58.235,133.76,255.815
60.56242568,55.16252258,61.38,137.575,134.975,114.995,274.91,268.505,262.67,59.51,131.8,255.48
60.96329206,57.76441699,62.35,136.35,132.895,115.09,260.33,268.165,269.285,58.115,135.415,256.575
61.27658001,57.80910221,59.02,136.645,132.99,117.98,279.025,260.76,266.675,60.49,133.675,253.58
62.65950171,55.13653765,59.35,135.29,129.39,118.605,269.255,255.89,266.87,59.89,134.845,256.525
59.50764965,56.66245038,59.995,138.32,129.655,116.56,270.75,266.365,265.3,59.035,134.185,255.43
60.25055842,56.70174311,59.68,139.235,129.775,119.645,277.555,257.625,268.925,59.495,133.39,253.5
60.01190833,57.28939978,60.28,136.25,132.69,115.415,270.935,257.415,264.655,58.665,131.57,253.895
58.03458265,55.90392316,60.7,134.81,132.465,118.22,274.11,257.8,262.995,58.83,132.995,252.8
58.38786486,55.28593993,59.7,135.125,126.09,115.26,271.87,261.315,261.94,59.3,128.87,249.56
59.41958295,55.14466864,59.095,133.86,131.545,116.505,280.155,255.615,258.84,57.25,133.635,251.54
59.10299863,55.68038533,59.64,134.35,127.81,117.515,276.6,257.97,259.35,57.52,130.44,248.67
